Fraud,Address,Normal_Txns,Normal_Sent_txns,Normal_Received_txns,ERC20_txns,ERC20_Sent_txns,ERC20_Received_txns,Internal_Txn,Eth_Volume,Sent_Eth,Received_Eth,ERC20_Volume,Sent_ERC20,Received_ERC20,Stable_Coin_Volume,Sent_Stable_Coin,Received_Stable_Coin,First_Txn_Timestamp,Last_Txn_Timestamp,Wallet_LifeTime,Min_Time_Btw_Normal_Txns,Avg_Time_Btw_Normal_Txns,Max_Time_Btw_Normal_Txns,Min_Time_Btw_ERC20_Txns,Avg_Time_Btw_ERC20_Txns,Max_Time_Btw_ERC20_Txns,Min_Time_Btw_Txns,Avg_Time_Btw_Txns,Max_Time_Btw_Txns,Uniq_Wallet_In_Normal_Txns,Uniq_SmrtCntrs_In_Normal_Txns,Uniq_Wallet_In_ERC20_Txns,Uniq_SmrtCntrs_In_ERC20_Txns
1,0xf1a4b668d15f0e66543e9f1f795cc2b0f97e3ef2,16,6,10,1,0,1,0,66.01207096,33.00385148,33.00821948,1.337,0,1.337,0,0,0,1524883121,1547961981,23078860000,135000,473722000,216000,0,0,0,135000,1357580000,216000,14,0,1,0
1,0xd56df468acb9c85953fc1a53ae6133bedbc53165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0x827eb1d207770d8c651a8d151e2ff35440f74fb1,71,68,3,0,0,0,0,1.5880536612181895,0.6242196652776051,0.9638339959405844,0,0,0,0,0,0,1634070519,1672074359,38003840000,6000,535265000,69000,0,0,0,6000,535265000,69000,3,1,0,0
1,0xb8ccb922892ffcec068d61a083f8aeab053a9adc,34,19,15,15,14,1,0,15.015651064455055,7.497465548972364,7.51818551548269,18436.516636,9218.0,9218.516636,18436.516636,9218.0,9218.516636,1644887608,1672032035,27144427000,43000,798366000,44804000,394000,433946000,5678628000,0,553968000,44804000,16,2,2,1
1,0x5d445ce69ff9d8096d57444906c193f0ee577bf2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0xbc492382aa0586f08cdb2e0ba88c1048f1e7b44e,11,1,10,2,0,2,0,12.3686959,6.18382295,6.18487295,13.379999999999999,0,13.379999999999999,0,0,0,1534947909,1663406063,128458154000,269000,55385000,75309000,115434688000,57717344000,0,269000,9881396000,75309000,11,0,2,0
1,0x3a5f12bfaf71190eb0997078ffb4fe767c5cc299,8,5,3,8,4,4,0,0.01577514759476535,0.001973395563517349,0.013801752031248001,26455.52,13227.76,13227.76,26455.52,13227.76,13227.76,1600603130,1655700117,55096987000,0,6887067000,14060000,9000,217200000,14525000,0,3443562000,451000,2,1,4,0
1,0x3258674d5eb5cfca42c18585b95fff50e098ebd4,111,54,57,2,1,1,1,43.71977844967493,21.819700700489,21.900077749185936,100.01,100.0,0.01,0,0,0,1530754198,1663618655,132864457000,28000,134677000,676000,127320573000,63660286000,0,28000,1175792000,676000,49,0,2,0
1,0x2b41d7589b56be80859d3f89e5dc95eef3209f7a,4,1,3,0,0,0,0,0.35923175332445173,0.17919587666222586,0.18003587666222584,0,0,0,0,0,0,1653581396,1653658143,76747000,2182000,19187000,0,0,0,0,2182000,19187000,0,4,0,0,0
1,0x3bf351a62df57dce8512b136daa4cd6ebe2dda91,35,3,32,5,1,4,0,134.3591327,67.17827485000001,67.18085785,150.37,100.0,50.37,0,0,0,1530075159,1547971375,17896216000,42000,168951000,29818000,1401863000,3361990000,3714697000,42000,447405000,29818000,28,0,3,2
1,0x9ba3833fb2d7a37a4dcf2f58c3f43ed7e397a45a,99,17,82,0,0,0,0,65.55931041523333,32.77233670761667,32.78697370761667,0,0,0,0,0,0,1515850402,1520129301,4278899000,23000,43221000,159514000,0,0,0,23000,43221000,159514000,87,0,0,0
1,0x5b0a511548dd2a7479af9d521fc70a05c3015e37,14,1,13,0,0,0,3,213.70612925999998,108.36427212999999,105.34185713000001,0,0,0,0,0,0,1601161012,1601237818,76806000,31000,5486000,40000,0,0,0,31000,5486000,40000,14,0,0,0
1,0x0ef2724a6d8be9f72f3d35b62e1e8a37ceaf721e,19,5,14,0,0,0,0,133.86825342,66.93206871000001,66.93618471,0,0,0,0,0,0,1516253597,1517020664,767067000,123000,40372000,6293000,0,0,0,123000,40372000,6293000,18,0,0,0
1,0x06eaf8e306194b117164b25ae42bcb4d996ee83b,65,34,31,3,2,1,0,155.58425047843076,77.7617767991756,77.82247367925517,515.92848,257.96423999999996,257.96424,515.92848,257.96423999999996,257.96424,1622954474,1640220702,17266228000,0,265634000,487000,3150000,730493000,0,0,253915000,487000,38,2,2,1
1,0xdc6e8fb22f99b2076d4c2827794705fd348178f7,50,28,22,10,5,5,4,3.164497409094306,2.5350002734636763,0.6294971356306296,4643.107502500479,2321.5537512502397,2321.5537512502397,32.38046,16.19023,16.19023,1660659053,1672584551,11925498000,0,238510000,76851000,528000,180790000,1289000,0,198758000,76851000,26,8,6,4
